,page,country,rev_id,preditcion,FIPS,Name,Type,TimeFrame,Data (M),Population
488,Julius Gregr,Czech Republic,395521877.0,Stub,,,,,,
489,Edvard Gregr,Czech Republic,395526568.0,Stub,,,,,,
490,Miroslav Poche,Czech Republic,672862914.0,Stub,,,,,,
491,Vojtěch Mynář,Czech Republic,673008587.0,Stub,,,,,,
492,Jan Malypetr,Czech Republic,704424304.0,Stub,,,,,,
493,Emanuel Moravec,Czech Republic,705080136.0,Start,,,,,,
494,Vladimír Hučín,Czech Republic,707597623.0,Start,,,,,,
495,Pavla Topolánková,Czech Republic,709676840.0,Start,,,,,,
496,Josef Barák,Czech Republic,711675761.0,Stub,,,,,,
497,Antonín Švehla,Czech Republic,712426548.0,Stub,,,,,,
498,Jakob Marzel Sternberger,Czech Republic,713698544.0,Stub,,,,,,
499,Alois Anderka,Czech Republic,714174726.0,Stub,,,,,,
500,Ivan Dejmal,Czech Republic,715467197.0,Start,,,,,,
501,Franz Macoun,Czech Republic,715640391.0,Stub,,,,,,
502,Karel Urbánek,Czech Republic,716711851.0,Stub,,,,,,
503,Vladimír Klokočka,Czech Republic,717429365.0,Start,,,,,,
504,Jaromír Jermář,Czech Republic,720027362.0,Stub,,,,,,
505,Artur London,Czech Republic,721736524.0,Start,,,,,,
506,František Sláma (politician),Czech Republic,722937211.0,Stub,,,,,,
507,Jan Kubice,Czech Republic,723151837.0,Stub,,,,,,
508,Kamil Jankovský,Czech Republic,723207013.0,Stub,,,,,,
509,Václav Vacek,Czech Republic,724691268.0,Stub,,,,,,
510,Čestmír Císař,Czech Republic,725362978.0,C,,,,,,
511,Luca Rovinalti,Czech Republic,726666131.0,Stub,,,,,,
512,Kamil Krofta,Czech Republic,726762194.0,Start,,,,,,
513,Milan Štěch,Czech Republic,728506208.0,Stub,,,,,,
514,Antonín Janoušek,Czech Republic,729912438.0,Stub,,,,,,
515,Bedřich Geminder,Czech Republic,730146355.0,Stub,,,,,,
516,Karel Domin,Czech Republic,735174171.0,Start,,,,,,
517,Hubert Ripka,Czech Republic,737562321.0,Start,,,,,,
518,Tomáš Eduard Šilinger,Czech Republic,741588720.0,Stub,,,,,,
519,Petr Janyška,Czech Republic,741798984.0,Stub,,,,,,
520,Jana Juřenčáková,Czech Republic,743423675.0,Stub,,,,,,
521,Jaromír Nečas,Czech Republic,744448745.0,Stub,,,,,,
522,Siegfried Taub,Czech Republic,744612257.0,Start,,,,,,
523,Záviš Kalandra,Czech Republic,746707985.0,Stub,,,,,,
524,Alois Rašín,Czech Republic,749575931.0,Start,,,,,,
525,Bedřich Reicin,Czech Republic,749945936.0,Start,,,,,,
526,Bernd Richter,Czech Republic,751718674.0,Stub,,,,,,
527,Kamil Kalina,Czech Republic,753045804.0,Stub,,,,,,
528,Richard Sacher,Czech Republic,755428089.0,Stub,,,,,,
529,Václav Fischer,Czech Republic,756317863.0,Start,,,,,,
530,Božena Viková-Kunětická,Czech Republic,757336278.0,Stub,,,,,,
531,Mikuláš of Hus,Czech Republic,758942647.0,Stub,,,,,,
532,Gertruda Sekaninová-Čakrtová,Czech Republic,759446334.0,GA,,,,,,
533,Petr Mlsna,Czech Republic,765838180.0,Stub,,,,,,
534,Antonín Cyril Stojan,Czech Republic,768047769.0,C,,,,,,
535,František Kubka,Czech Republic,768676716.0,Stub,,,,,,
536,Josef Pfitzner,Czech Republic,773853256.0,Start,,,,,,
537,Vladimír Franz,Czech Republic,774595725.0,C,,,,,,
538,Jan Stocklassa,Czech Republic,776095794.0,Stub,,,,,,
539,Jaroslav Krejčí,Czech Republic,776197284.0,Start,,,,,,
540,Libuše Benešová,Czech Republic,776338134.0,Stub,,,,,,
541,Daniela Filipiová,Czech Republic,776338195.0,Start,,,,,,
542,Moses Porges von Portheim,Czech Republic,776487173.0,Start,,,,,,
543,Jan Kasl,Czech Republic,776508129.0,Start,,,,,,
544,Jiří Kittner,Czech Republic,776509425.0,Stub,,,,,,
545,Miloslav Vlček,Czech Republic,776513404.0,Stub,,,,,,
546,Ivo Svoboda (politician),Czech Republic,776513552.0,Start,,,,,,
547,Hana Orgoníková,Czech Republic,776513802.0,Stub,,,,,,
548,Pavel Dostál,Czech Republic,776514175.0,Start,,,,,,
549,Jiří Lobkowicz,Czech Republic,776751749.0,Stub,,,,,,
550,Bohuslav Kokotek,Czech Republic,777876483.0,Stub,,,,,,
551,Alena Hanáková,Czech Republic,778095433.0,Stub,,,,,,
552,Irena Kočí,Czech Republic,779417455.0,Stub,,,,,,
553,Martin Netolický,Czech Republic,779417738.0,Stub,,,,,,
554,David Rath,Czech Republic,779418369.0,Start,,,,,,
555,Eva Nováková,Czech Republic,779498276.0,Stub,,,,,,
556,Vojtěch Adam,Czech Republic,779500408.0,Stub,,,,,,
557,Vlastimil Balín,Czech Republic,779500749.0,Stub,,,,,,
558,Jiří Dolejš,Czech Republic,779500957.0,Stub,,,,,,
559,Zuzka Bebarová-Rujbrová,Czech Republic,779501010.0,Stub,,,,,,
560,Marie Stiborová,Czech Republic,779501096.0,Start,,,,,,
561,Jiří Svoboda (politician),Czech Republic,779501161.0,Stub,,,,,,
562,Miloslava Vostrá,Czech Republic,779501194.0,Stub,,,,,,
563,Jiří Čeřovský,Czech Republic,779501654.0,Stub,,,,,,
564,Jan Korger,Czech Republic,779501783.0,Stub,,,,,,
565,Kateřina Jacques,Czech Republic,779581127.0,C,,,,,,
566,Tomáš Chalupa,Czech Republic,779839245.0,Stub,,,,,,
567,Pavel Blažek,Czech Republic,779839319.0,Stub,,,,,,
568,Aleš Řebíček,Czech Republic,779839400.0,Stub,,,,,,
569,Ivan Langer,Czech Republic,779839455.0,Start,,,,,,
570,Jan Stráský,Czech Republic,779839492.0,Start,,,,,,
571,Jan Chvojka,Czech Republic,779842639.0,Stub,,,,,,
572,Marie Benešová,Czech Republic,779847262.0,Stub,,,,,,
573,Juraj Chmiel,Czech Republic,779847492.0,Stub,,,,,,
574,Daniela Kovářová,Czech Republic,779847531.0,Stub,,,,,,
575,Rostislav Vondruška,Czech Republic,779847687.0,Stub,,,,,,
576,Martin Štěpánek (actor),Czech Republic,779847799.0,Start,,,,,,
577,Helena Třeštíková,Czech Republic,779847837.0,Stub,,,,,,
578,Milena Vicenová,Czech Republic,779847883.0,Stub,,,,,,
579,Jaroslav Bašta,Czech Republic,779848743.0,Stub,,,,,,
580,Josef Lux,Czech Republic,779849059.0,Stub,,,,,,
581,Miroslav Macek,Czech Republic,779849258.0,Stub,,,,,,
582,Ladislav Miko,Czech Republic,779849694.0,Stub,,,,,,
583,Džamila Stehlíková,Czech Republic,779849767.0,Stub,,,,,,
584,Jozef Moravčík,Czech Republic,780051829.0,Stub,,,,,,
585,Milan Uhde,Czech Republic,780321961.0,Stub,,,,,,
586,František Pitra,Czech Republic,780534080.0,Stub,,,,,,
587,Oldřich Černík,Czech Republic,780534267.0,Stub,,,,,,
588,Otakar Motejl,Czech Republic,780868492.0,Start,,,,,,
589,Ludwig Czech,Czech Republic,780887131.0,Stub,,,,,,
590,Rudolf Beran,Czech Republic,780921783.0,Start,,,,,,
591,Victor Adler,Czech Republic,782058966.0,Start,,,,,,
592,Emil Beier,Czech Republic,782384016.0,Stub,,,,,,
593,Bruno Kafka,Czech Republic,783065752.0,Stub,,,,,,
594,Lucie Talmanová,Czech Republic,783711789.0,Start,,,,,,
595,Martin Mejstřík,Czech Republic,783737915.0,Stub,,,,,,
596,Vlastimil Tusar,Czech Republic,784145485.0,Start,,,,,,
597,Petr Bendl,Czech Republic,784826685.0,Start,,,,,,
598,Petr Gandalovič,Czech Republic,784826720.0,Start,,,,,,
599,Tomáš Vandas,Czech Republic,784968648.0,Start,,,,,,
600,Robert Mayr-Harting,Czech Republic,785085345.0,Stub,,,,,,
601,Karel Havlíček Borovský,Czech Republic,785407597.0,C,,,,,,
602,Jan Černý,Czech Republic,786162238.0,Start,,,,,,
603,Josef Frank (politician),Czech Republic,786399604.0,Stub,,,,,,
604,Philip Kinsky of Wchinitz and Tettau,Czech Republic,786612217.0,Start,,,,,,
605,Luboš Dobrovský,Czech Republic,787952395.0,Stub,,,,,,
606,Bedřich Moldan,Czech Republic,787952868.0,Stub,,,,,,
607,Martin Palouš,Czech Republic,788015952.0,Start,,,,,,
608,Hermann Zwierzina,Czech Republic,788121309.0,Stub,,,,,,
609,Eduard Zeman,Czech Republic,788178766.0,Stub,,,,,,
610,Richard Bienert,Czech Republic,788410657.0,Start,,,,,,
611,Václav Hampl,Czech Republic,789102318.0,Start,,,,,,
612,Miroslav Grebeníček,Czech Republic,789546047.0,Stub,,,,,,
613,Vlasta Štěpová,Czech Republic,789546066.0,Stub,,,,,,
614,Egon Lánský,Czech Republic,789546079.0,Start,,,,,,
615,Antonín Prachař,Czech Republic,789546102.0,Stub,,,,,,
616,Milan Horálek,Czech Republic,789546147.0,Stub,,,,,,
617,Antonín Novotný,Czech Republic,790372008.0,C,,,,,,
618,Zuzana Brzobohatá,Czech Republic,790608148.0,Stub,,,,,,
619,Alena Palečková,Czech Republic,790608180.0,Stub,,,,,,
620,Zuzana Roithová,Czech Republic,790608186.0,Start,,,,,,
621,"List of MPs elected in the Czech legislative election, 2017",Czech Republic,790838510.0,Stub,,,,,,
622,Martin Jahn,Czech Republic,791374581.0,Start,,,,,,
623,Pavel Rychetský,Czech Republic,792417439.0,Stub,,,,,,
624,Gustáv Slamečka,Czech Republic,792476721.0,Start,,,,,,
625,Edvard Kožušník,Czech Republic,793087579.0,Stub,,,,,,
626,Jan Masaryk,Czech Republic,793642926.0,C,,,,,,
627,Jan Koukal,Czech Republic,794146543.0,Stub,,,,,,
628,Pavel Bém,Czech Republic,794995687.0,Start,,,,,,
629,"List of MPs elected in the Czech legislative election, 2013",Czech Republic,795098385.0,C,,,,,,
630,Vít Bárta,Czech Republic,795377941.0,Stub,,,,,,
631,Karl Kautsky,Czech Republic,795807571.0,C,,,,,,
632,Karl von Czyhlarz,Czech Republic,795809115.0,Stub,,,,,,
633,Václav Fresl,Czech Republic,796253432.0,Stub,,,,,,
634,Josef Václav Frič,Czech Republic,796403608.0,Start,,,,,,
635,Tomáš Zdechovský,Czech Republic,796749458.0,C,,,,,,
636,Andrea Češková,Czech Republic,796751775.0,Stub,,,,,,
637,Dana Kuchtová,Czech Republic,796752629.0,Stub,,,,,,
638,Rudolf Margolius,Czech Republic,796825099.0,C,,,,,,
639,František Ladislav Rieger,Czech Republic,797539957.0,C,,,,,,
640,Petr Mach,Czech Republic,797842545.0,Start,,,,,,
641,Jaroslava Moserová,Czech Republic,798490261.0,Start,,,,,,
642,Vávra Suk,Czech Republic,798648973.0,Stub,,,,,,
643,Vojtěch Náprstek,Czech Republic,798686948.0,C,,,,,,
644,Lubomír Štrougal,Czech Republic,798705619.0,Start,,,,,,
645,Jan Krejčí,Czech Republic,798796793.0,B,,,,,,
646,Radek John,Czech Republic,798944631.0,Stub,,,,,,
647,Jan Jesenius,Czech Republic,799301686.0,C,,,,,,
648,Josef Ježek,Czech Republic,800555146.0,Start,,,,,,
649,Jana Bobošíková,Czech Republic,800754664.0,Start,,,,,,
650,Franz Anton von Kolowrat-Liebsteinsky,Czech Republic,800883412.0,Start,,,,,,
651,Viktor Dyk,Czech Republic,800925236.0,C,,,,,,
652,Alois Jirásek,Czech Republic,800925518.0,C,,,,,,
653,"Alexander von Mensdorff-Pouilly, Prince Dietrichstein von Nicolsburg",Czech Republic,801939668.0,Start,,,,,,
654,Adriana Krnáčová,Czech Republic,801972898.0,Start,,,,,,
655,Ondřej Liška,Czech Republic,802013967.0,Stub,,,,,,
656,Marcel Chládek,Czech Republic,802054500.0,Stub,,,,,,
657,Miroslava Kopicová,Czech Republic,802055280.0,Stub,,,,,,
658,Milan Chovanec,Czech Republic,802060218.0,Stub,,,,,,
659,František Bublan,Czech Republic,802060471.0,Stub,,,,,,
660,Jiří Dienstbier Jr.,Czech Republic,802069244.0,C,,,,,,
661,Táňa Fischerová,Czech Republic,802360196.0,C,,,,,,
662,Václav Jehlička,Czech Republic,802365998.0,Stub,,,,,,
663,Viliam Široký,Czech Republic,802416926.0,Stub,,,,,,
664,Miroslav Lidinský,Czech Republic,802531379.0,Start,,,,,,
665,Petr Cibulka,Czech Republic,802834939.0,Start,,,,,,
666,Anna Šabatová,Czech Republic,802875800.0,Stub,,,,,,
667,Adolph Aloys von Braun,Czech Republic,803332354.0,C,,,,,,
668,Dana Bérová,Czech Republic,803438779.0,Stub,,,,,,
669,František Palacký,Czech Republic,803658529.0,C,,,,,,
670,Miroslav Kostelka,Czech Republic,803709959.0,Stub,,,,,,
671,Martin Barták,Czech Republic,803793256.0,Stub,,,,,,
672,Karolína Peake,Czech Republic,803794383.0,Start,,,,,,
673,Petr Ježek,Czech Republic,803983301.0,Start,,,,,,
674,František Udržal,Czech Republic,804093764.0,Stub,,,,,,
675,Václav Havel,Czech Republic,804569724.0,C,,,,,,
676,Pavel Fischer,Czech Republic,804582256.0,Stub,,,,,,
677,Eva Tylová,Czech Republic,804591494.0,Stub,,,,,,
678,Dana Jurásková,Czech Republic,804715205.0,Stub,,,,,,
679,Svatopluk Němeček,Czech Republic,804715467.0,Stub,,,,,,
680,Richard Brabec,Czech Republic,804820949.0,Stub,,,,,,
681,Jan Fischer (politician),Czech Republic,804868436.0,C,,,,,,
682,Martin Pecina,Czech Republic,804869147.0,Stub,,,,,,
683,Vlasta Parkanová,Czech Republic,804871394.0,Stub,,,,,,
684,Martin Bursík,Czech Republic,804879673.0,Start,,,,,,
685,Lubomír Zaorálek,Czech Republic,805037426.0,Start,,,,,,
686,Radola Gajda,Czech Republic,805084705.0,C,,,,,,
687,Karel Schwarzenberg,Czech Republic,805176779.0,C,,,,,,
688,Vlasta Svobodová,Czech Republic,805179298.0,Stub,,,,,,
689,Ondřej Přikryl,Czech Republic,805352758.0,Start,,,,,,
690,Milada Horáková,Czech Republic,805439919.0,C,,,,,,
691,Martin Holcát,Czech Republic,805824502.0,Stub,,,,,,
692,Alena Dernerová,Czech Republic,805946007.0,Stub,,,,,,
693,Marian Jurečka,Czech Republic,806049453.0,Stub,,,,,,
694,Pavel Bělobrádek,Czech Republic,806085100.0,Stub,,,,,,
695,Dan Ťok,Czech Republic,806231200.0,Stub,,,,,,
696,Jiří Dienstbier,Czech Republic,806490518.0,Stub,,,,,,
697,Rudolf Slánský,Czech Republic,806504904.0,C,,,,,,
698,Alexandr Vondra,Czech Republic,806537585.0,C,,,,,,
699,Jaroslav Šedivý,Czech Republic,806538241.0,Stub,,,,,,
700,Cyril Svoboda,Czech Republic,806538320.0,C,,,,,,
701,Jan Kohout,Czech Republic,806539480.0,Stub,,,,,,
702,Miloš Vystrčil,Czech Republic,806558617.0,Stub,,,,,,
703,Alois Eliáš,Czech Republic,806566913.0,C,,,,,,
704,Jan Skopeček (politician),Czech Republic,806569308.0,Stub,,,,,,
705,Miloslav Ludvík,Czech Republic,806586185.0,Stub,,,,,,
706,Martin Kupka,Czech Republic,806636602.0,Stub,,,,,,
707,Matěj Stropnický,Czech Republic,806650264.0,Stub,,,,,,
708,Petr Šimerka,Czech Republic,806669645.0,Stub,,,,,,
709,Jaromír Drábek,Czech Republic,806669709.0,Stub,,,,,,
710,Ludmila Müllerová,Czech Republic,806669752.0,Stub,,,,,,
711,Jan Veleba (politician),Czech Republic,806672899.0,Stub,,,,,,
712,František Ringo Čech,Czech Republic,806673245.0,Stub,,,,,,
713,Michaela Marksová,Czech Republic,806673585.0,Stub,,,,,,
714,Robert Pelikán,Czech Republic,806708361.0,Stub,,,,,,
715,Karla Šlechtová,Czech Republic,806708532.0,Stub,,,,,,
716,Stanislav Gross,Czech Republic,806720477.0,C,,,,,,
717,Martin Stropnický,Czech Republic,806729653.0,Stub,,,,,,
718,Leoš Heger,Czech Republic,806751902.0,Stub,,,,,,
719,Bohuslav Svoboda,Czech Republic,806850638.0,Stub,,,,,,
720,Miroslava Němcová,Czech Republic,806876791.0,Stub,,,,,,
721,Zbyněk Stanjura,Czech Republic,806900987.0,Stub,,,,,,
722,Drahomíra Miklošová,Czech Republic,806988445.0,Stub,,,,,,
723,Václav Klaus Jr.,Czech Republic,806991412.0,C,,,,,,
724,Dominik Feri,Czech Republic,807058182.0,Start,,,,,,
725,Alexandra Udženija,Czech Republic,807102237.0,Stub,,,,,,
726,Ivan Pilný,Czech Republic,807333095.0,Stub,,,,,,
727,Marta Semelová,Czech Republic,807334610.0,Stub,,,,,,
728,Daniel Herman,Czech Republic,807334657.0,Start,,,,,,
729,Jan Hamáček,Czech Republic,807353609.0,Stub,,,,,,
730,Michal Horáček,Czech Republic,807358143.0,C,,,,,,
731,Václav Klaus,Czech Republic,807382193.0,C,,,,,,
732,Martin Kuba,Czech Republic,807394304.0,Stub,,,,,,
733,Martin Říman,Czech Republic,807394725.0,Stub,,,,,,
734,Kateřina Valachová,Czech Republic,807399097.0,Stub,,,,,,
735,Vladimír Tošovský,Czech Republic,807415625.0,Stub,,,,,,
736,Pavel Svoboda,Czech Republic,807416099.0,Start,,,,,,
737,Petr Fiala,Czech Republic,807420515.0,Start,,,,,,
738,Vladimír Špidla,Czech Republic,807462107.0,C,,,,,,
9359,Timoteo Menéndez,Salvadoran,566504165.0,Stub,,,,,,
9360,Joaquín Escolán y Balibrera,Salvadoran,679294949.0,Stub,,,,,,
9361,Fermín Palacios,Salvadoran,705353491.0,Stub,,,,,,
9362,Eugenio Aguilar,Salvadoran,705353565.0,Stub,,,,,,
9363,Tomás Medina,Salvadoran,705353584.0,Stub,,,,,,
9364,Ramón Rodríguez (Salvadoran politician),Salvadoran,705353647.0,Stub,,,,,,
9365,Vicente Gómez,Salvadoran,705353678.0,Stub,,,,,,
9366,Lorenzo Zepeda,Salvadoran,705353843.0,Stub,,,,,,
9367,José María Peralta,Salvadoran,705353896.0,Stub,,,,,,
